id;name;province_name;province_abbreviation;region_name;code
1;Agliè;Torino;TO;Piemonte;A074
2;Airasca;Torino;TO;Piemonte;A109
3;Ala di Stura;Torino;TO;Piemonte;A117
4;Albiano d'Ivrea;Torino;TO;Piemonte;A157
5;Almese;Torino;TO;Piemonte;A218
6;Alpette;Torino;TO;Piemonte;A221
7;Alpignano;Torino;TO;Piemonte;A222
8;Andezeno;Torino;TO;Piemonte;A275
9;Andrate;Torino;TO;Piemonte;A282
10;Angrogna;Torino;TO;Piemonte;A295
11;Arignano;Torino;TO;Piemonte;A405
12;Avigliana;Torino;TO;Piemonte;A518
13;Azeglio;Torino;TO;Piemonte;A525
14;Bairo;Torino;TO;Piemonte;A584
15;Balangero;Torino;TO;Piemonte;A587
16;Baldissero Canavese;Torino;TO;Piemonte;A590
17;Baldissero Torinese;Torino;TO;Piemonte;A591
18;Balme;Torino;TO;Piemonte;A599
19;Banchette;Torino;TO;Piemonte;A607
20;Barbania;Torino;TO;Piemonte;A625
21;Bardonecchia;Torino;TO;Piemonte;A651
22;Barone Canavese;Torino;TO;Piemonte;A673
23;Beinasco;Torino;TO;Piemonte;A734
24;Bibiana;Torino;TO;Piemonte;A853
25;Bobbio Pellice;Torino;TO;Piemonte;A910
26;Bollengo;Torino;TO;Piemonte;A941
27;Borgaro Torinese;Torino;TO;Piemonte;A990
28;Borgiallo;Torino;TO;Piemonte;B003
29;Borgofranco d'Ivrea;Torino;TO;Piemonte;B015
30;Borgomasino;Torino;TO;Piemonte;B021
31;Borgone Susa;Torino;TO;Piemonte;B024
32;Bosconero;Torino;TO;Piemonte;B075
33;Brandizzo;Torino;TO;Piemonte;B121
34;Bricherasio;Torino;TO;Piemonte;B171
35;Brosso;Torino;TO;Piemonte;B205
36;Brozolo;Torino;TO;Piemonte;B209
37;Bruino;Torino;TO;Piemonte;B216
38;Brusasco;Torino;TO;Piemonte;B225
39;Bruzolo;Torino;TO;Piemonte;B232
40;Buriasco;Torino;TO;Piemonte;B278
41;Burolo;Torino;TO;Piemonte;B279
42;Busano;Torino;TO;Piemonte;B284
43;Bussoleno;Torino;TO;Piemonte;B297
44;Buttigliera Alta;Torino;TO;Piemonte;B305
45;Cafasse;Torino;TO;Piemonte;B350
46;Caluso;Torino;TO;Piemonte;B435
47;Cambiano;Torino;TO;Piemonte;B462
48;Campiglione Fenile;Torino;TO;Piemonte;B512
49;Candia Canavese;Torino;TO;Piemonte;B588
50;Candiolo;Torino;TO;Piemonte;B592
51;Canischio;Torino;TO;Piemonte;B605
52;Cantalupa;Torino;TO;Piemonte;B628
53;Cantoira;Torino;TO;Piemonte;B637
54;Caprie;Torino;TO;Piemonte;B705
55;Caravino;Torino;TO;Piemonte;B733
56;Carema;Torino;TO;Piemonte;B762
57;Carignano;Torino;TO;Piemonte;B777
58;Carmagnola;Torino;TO;Piemonte;B791
59;Casalborgone;Torino;TO;Piemonte;B867
60;Cascinette d'Ivrea;Torino;TO;Piemonte;B953
61;Caselette;Torino;TO;Piemonte;B955
62;Caselle Torinese;Torino;TO;Piemonte;B960
63;Castagneto Po;Torino;TO;Piemonte;C045
64;Castagnole Piemonte;Torino;TO;Piemonte;C048
65;Castellamonte;Torino;TO;Piemonte;C133
66;Castelnuovo Nigra;Torino;TO;Piemonte;C241
67;Castiglione Torinese;Torino;TO;Piemonte;C307
68;Cavagnolo;Torino;TO;Piemonte;C369
69;Cavour;Torino;TO;Piemonte;C404
70;Cercenasco;Torino;TO;Piemonte;C487
71;Ceres;Torino;TO;Piemonte;C497
72;Ceresole Reale;Torino;TO;Piemonte;C505
73;Cesana Torinese;Torino;TO;Piemonte;C564
74;Chialamberto;Torino;TO;Piemonte;C604
75;Chianocco;Torino;TO;Piemonte;C610
76;Chiaverano;Torino;TO;Piemonte;C624
77;Chieri;Torino;TO;Piemonte;C627
78;Chiesanuova;Torino;TO;Piemonte;C629
79;Chiomonte;Torino;TO;Piemonte;C639
80;Chiusa di San Michele;Torino;TO;Piemonte;C655
81;Chivasso;Torino;TO;Piemonte;C665
82;Ciconio;Torino;TO;Piemonte;C679
83;Cintano;Torino;TO;Piemonte;C711
84;Cinzano;Torino;TO;Piemonte;C715
85;Ciriè;Torino;TO;Piemonte;C722
86;Claviere;Torino;TO;Piemonte;C793
87;Coassolo Torinese;Torino;TO;Piemonte;C801
88;Coazze;Torino;TO;Piemonte;C803
89;Collegno;Torino;TO;Piemonte;C860
90;Colleretto Castelnuovo;Torino;TO;Piemonte;C867
91;Colleretto Giacosa;Torino;TO;Piemonte;C868
92;Condove;Torino;TO;Piemonte;C955
93;Corio;Torino;TO;Piemonte;D008
94;Cossano Canavese;Torino;TO;Piemonte;D092
95;Cuceglio;Torino;TO;Piemonte;D197
96;Cumiana;Torino;TO;Piemonte;D202
97;Cuorgnè;Torino;TO;Piemonte;D208
98;Druento;Torino;TO;Piemonte;D373
99;Exilles;Torino;TO;Piemonte;D433
100;Favria;Torino;TO;Piemonte;D520
101;Feletto;Torino;TO;Piemonte;D524
102;Fenestrelle;Torino;TO;Piemonte;D532
103;Fiano;Torino;TO;Piemonte;D562
104;Fiorano Canavese;Torino;TO;Piemonte;D608
105;Foglizzo;Torino;TO;Piemonte;D646
106;Forno Canavese;Torino;TO;Piemonte;D725
107;Frassinetto;Torino;TO;Piemonte;D781
108;Front;Torino;TO;Piemonte;D805
109;Frossasco;Torino;TO;Piemonte;D812
110;Garzigliana;Torino;TO;Piemonte;D931
111;Gassino Torinese;Torino;TO;Piemonte;D933
112;Germagnano;Torino;TO;Piemonte;D983
113;Giaglione;Torino;TO;Piemonte;E009
114;Giaveno;Torino;TO;Piemonte;E020
115;Givoletto;Torino;TO;Piemonte;E067
116;Gravere;Torino;TO;Piemonte;E154
117;Groscavallo;Torino;TO;Piemonte;E199
118;Grosso;Torino;TO;Piemonte;E203
119;Grugliasco;Torino;TO;Piemonte;E216
120;Ingria;Torino;TO;Piemonte;E301
121;Inverso Pinasca;Torino;TO;Piemonte;E311
122;Isolabella;Torino;TO;Piemonte;E345
